0.5,0.666667
0.375,0.5
0.304688,0.4
0.25827,0.333333
0.224918,0.285714
0.199624,0.25
0.179699,0.222222
0.163553,0.2
0.150179,0.181818
0.138902,0.166667
0.129255,0.153846
0.120902,0.142857
0.113593,0.133333
0.107141,0.125
0.101402,0.117647
0.0962605,0.111111
0.0916274,0.105263
0.0874297,0.1
0.0836077,0.0952381
0.0801126,0.0909091

0.732051,0.666667
0.569746,0.5
0.4627,0.4
0.387588,0.333333
0.332357,0.285714
0.290238,0.25
0.25717,0.222222
0.230585,0.2
0.208789,0.181818
0.190621,0.166667
0.175262,0.153846
0.162121,0.142857
0.150757,0.133333
0.140839,0.125
0.132112,0.117647
0.124377,0.111111
0.117477,0.105263
0.111285,0.1
0.105699,0.0952381
0.100635,0.0909091

0.645751,0.666667
0.483145,0.5
0.38729,0.4
0.32361,0.333333
0.278095,0.285714
0.24389,0.25
0.217223,0.222222
0.195839,0.2
0.178302,0.181818
0.163658,0.166667
0.151244,0.153846
0.140584,0.142857
0.131331,0.133333
0.123223,0.125
0.11606,0.117647
0.109685,0.111111
0.103974,0.105263
0.0988298,0.1
0.0941709,0.0952381
0.0899319,0.0909091

