5,-0.0952526,-0.0747651,-0.0181299
10,-0.0425022,-0.0249187,-0.00840459
15,-0.026699,-0.0186662,-0.00537584
20,-0.019257,-0.0115086,-0.00391642
25,-0.0149681,-0.0100471,-0.00306348
30,-0.0121932,-0.00735799,-0.00250653
35,-0.0102578,-0.00674913,-0.00211565
40,-0.00883404,-0.00535975,-0.00182668
45,-0.00774524,-0.0050358,-0.00160454
50,-0.0068864,-0.00419239,-0.00142894
55,-0.00619278,-0.0039945,-0.00128672
60,-0.00562099,-0.00343029,-0.00116924
65,-0.00514213,-0.00329844,-0.00107066
70,-0.00473557,-0.00289492,-0.000986793
75,-0.00438634,-0.00280158,-0.000914791
80,-0.00408296,-0.00249926,-0.000852027
85,-0.00381748,-0.0024303,-0.000796833
90,-0.00358287,-0.00219563,-0.000748255
95,-0.0033745,-0.00214259,-0.00070528
100,-0.00318805,-0.00195513,-0.000666537
105,-0.00302027,-0.00191347,-0.000631728
110,-0.00286851,-0.00176046,-0.000600078
115,-0.002731,-0.00172684,-0.000571528
120,-0.00260512,-0.00159971,-0.000545421
125,-0.00248996,-0.00157217,-0.000521341
130,-0.00238434,-0.00146506,-0.000499108
135,-0.00228677,-0.00144199,-0.000479081
140,-0.00219659,-0.00135038,-0.000460127
145,-0.00211308,-0.00133065,-0.000442543
150,-0.002035,-0.00125132,-0.000426569
155,-0.001963,-0.00123493,-0.000411608
160,-0.00189487,-0.00116596,-0.000397363
165,-0.00183163,-0.0011516,-0.000384131
170,-0.00177232,-0.00109068,-0.000371792
175,-0.00171641,-0.00107823,-0.000359872
180,-0.00166354,-0.00102411,-0.000349262
185,-0.00161395,-0.00101326,-0.000338414
190,-0.00156746,-0.000965097,-0.000328877
195,-0.00152312,-0.000955322,-0.000319638
200,-0.0014808,-0.00091187,-0.000310877
205,-0.00144116,-0.000903108,-0.000302413
210,-0.00140325,-0.000864306,-0.000294962
215,-0.00136701,-0.000856259,-0.000287094
220,-0.00133304,-0.000821033,-0.000279703
225,-0.00130019,-0.000814297,-0.000272789
230,-0.00126932,-0.000782111,-0.000266173
235,-0.00123958,-0.000775793,-0.000259915
240,-0.00121079,-0.000746229,-0.000254431
245,-0.00118355,-0.000740686,-0.000248709
250,-0.00115744,-0.000713506,-0.000242927
255,-0.00113241,-0.000708201,-0.000237742
260,-0.00110868,-0.000683465,-0.000233092
265,-0.0010858,-0.000678876,-0.000228145
270,-0.00106344,-0.000655451,-0.000223436
275,-0.00104223,-0.000651279,-0.000219145
280,-0.00102154,-0.000629821,-0.000214496
285,-0.00100175,-0.000626006,-0.000210323
290,-0.000982561,-0.00060592,-0.000206747
295,-0.000964561,-0.000602641,-0.000202634
300,-0.000946858,-0.000583687,-0.000199118
305,-0.000929454,-0.000580349,-0.000195243
310,-0.000913122,-0.000563064,-0.000192502
315,-0.000897505,-0.000559905,-0.000188449
320,-0.00088171,-0.000543752,-0.000185468
325,-0.000866749,-0.00054095,-0.00018213
330,-0.000852206,-0.00052587,-0.000179031
335,-0.00083808,-0.000522711,-0.000175872
340,-0.00082449,-0.000508704,-0.000173428
345,-0.000811436,-0.000506022,-0.000170627
350,-0.000798681,-0.000492432,-0.000168302
355,-0.000786045,-0.000490525,-0.000165501
360,-0.000774243,-0.000478008,-0.000162699
365,-0.000762739,-0.000475385,-0.000160136
370,-0.000750878,-0.000463643,-0.000158229
375,-0.00074003,-0.000461617,-0.000155547
380,-0.000729242,-0.000449875,-0.000153639
385,-0.000719228,-0.000448086,-0.000151315
390,-0.000708857,-0.000437656,-0.000149169
395,-0.000698962,-0.000435808,-0.0001475
400,-0.000689128,-0.000425437,-0.000144937
405,-0.000679948,-0.000423887,-0.00014297
410,-0.000670769,-0.000413933,-0.000141122
415,-0.000662067,-0.000412383,-0.000139513
420,-0.000653126,-0.000403145,-0.000137785
425,-0.000644603,-0.000401595,-0.000135877
430,-0.000636497,-0.000393429,-0.000133672
435,-0.00062839,-0.000391522,-0.000132122
440,-0.000620225,-0.000383058,-0.000130572
445,-0.000613072,-0.00038127,-0.000128844
450,-0.000605681,-0.000373819,-0.000127711
455,-0.000598231,-0.000372448,-0.000125685
460,-0.000590363,-0.000364521,-0.000124314
465,-0.000584462,-0.000363209,-0.000122705
470,-0.000577488,-0.000355997,-0.000121215
475,-0.000570336,-0.000354686,-0.000119724
480,-0.000564017,-0.000347891,-0.000118234
485,-0.000557103,-0.000346759,-0.000117161
490,-0.000551262,-0.000340321,-0.000115791
495,-0.000544646,-0.000339368,-0.00011442
